,Rate_2013,Rate_2014
Broward_County FL,6.7,5.8
Wayne_County GA,9.8,9
Meigs_County TN,10.1,8.6
Genesee_County NY,6.8,5.5
Dunklin_County MO,9.6,8.7
Val_Verde_County TX,7.3,5.7
Wise_County VA,10.1,9.4
Canadian_County OK,4.2,3.6
Klickitat_County WA,9.5,8
Johnson_County AR,7.7,6.6
Sutton_County TX,4.5,3.5
Muskogee_County OK,6.5,5.8
Essex_County MA,7,6
Wilkin_County MN,4.1,3.3
Koochiching_County MN,8.2,8.4
Russell_County AL,7.3,6.6
Wayne_County IN,8.7,6.7
McMinn_County TN,9,7.6
Orleans_Parish LA,7.4,7
Muscatine_County IA,5.2,4.7
Hartley_County TX,3.1,2.6
Goliad_County TX,5.2,4.1
Gallia_County OH,9.6,7.5
Meade_County SD,3.8,3.3
Polk_County AR,7.3,6.4
San_Patricio_County TX,7.1,6.2
Churchill_County NV,9,7.4
Jackson_County GA,7,6
Flagler_County FL,8.4,7.5
Garfield_County OK,4.2,3.6
Tucker_County WV,6.9,6.4
Chaffee_County CO,6.1,4.4
Jackson_County OR,9.7,8.6
Sublette_County WY,4.7,4.5
Clear_Creek_County CO,6.2,4.7
Hardin_County TN,10.2,9
Sherman_County KS,4,3.2
Saline_County NE,4.3,3.5
Greene_County VA,4.8,4.4
Doniphan_County KS,5.5,4.5
Jackson_County AR,10.9,9.4
Wayne_County OH,6.2,4.6
Shiawassee_County MI,9.5,7.4
Benewah_County ID,10.1,8.1
Mercer_County PA,7.4,5.9
Carson_County TX,4.4,3.3
Burke_County GA,12,10.1
Hitchcock_County NE,4,3.6
Lauderdale_County TN,11.6,9.9
Eau_Claire_County WI,5.7,4.6
